Date,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLC,XLY,XLP,XLU,SPY,SHY,^TNX,CL=F,HY_SPREAD
2017-04-17,48.54732894897461,19.91781997680664,64.665283203125,56.08755111694336,43.74091339111328,24.570878982543945,48.41994857788086,50.90734149524092,80.43206024169922,44.22480773925781,39.89655303955078,205.12957763671875,71.89089965820312,2.252000093460083,52.650001525878906,4.0
2017-04-18,48.09303283691406,19.72976303100586,63.959842681884766,55.90555191040039,43.69013977050781,24.6314697265625,48.41079330444336,50.92296631779198,80.44125366210938,44.42498016357422,39.9887809753418,204.51748657226562,71.95030975341797,2.178999900817871,52.40999984741211,4.07
2017-04-19,47.38713073730469,19.6699161529541,64.1514663696289,55.957550048828125,43.7493782043457,24.578453063964844,48.37413787841797,51.068763769133405,80.51484680175781,44.25682067871094,39.71208572387695,204.1414337158203,71.91635131835938,2.2019999027252197,50.439998626708984,4.01
2017-04-20,47.617767333984375,20.003307342529297,64.55208587646484,56.63351058959961,44.231815338134766,24.570878982543945,48.81388854980469,50.959421260921104,81.36114501953125,44.16874694824219,39.55838394165039,205.80291748046875,71.90787506103516,2.240999937057495,50.27000045776367,3.98
2017-04-21,47.3801383972168,19.79814338684082,64.16887664794922,56.68551254272461,44.18104934692383,24.487560272216797,48.713130950927734,50.35537008533223,81.17716217041016,44.040626525878906,39.75821304321289,205.1471405029297,71.94189453125,2.236999988555908,49.619998931884766,3.97
2017-04-24,47.659706115722656,20.242666244506836,64.80463409423828,57.491458892822266,44.688865661621094,24.245182037353516,49.29030990600586,50.54803754009182,81.70147705078125,44.44099807739258,39.96572494506836,207.4032440185547,71.86536407470703,2.2730000019073486,49.22999954223633,3.86
2017-04-25,48.06507873535156,20.422178268432617,65.0833511352539,57.7687873840332,45.408294677734375,24.298206329345703,49.54685974121094,50.995867275580196,82.34536743164062,44.617156982421875,39.91192626953125,208.610107421875,71.79747009277344,2.3269999027252197,49.560001373291016,3.78
2017-04-26,47.904327392578125,20.405080795288086,65.44039916992188,57.7774543762207,45.39982986450195,24.093700408935547,49.49187088012695,51.402059091087516,82.73172760009766,44.25682067871094,39.78894805908203,208.47891235351562,71.82292938232422,2.311000108718872,49.619998931884766,3.76
2017-04-27,47.3801383972168,20.311050415039062,65.57975006103516,57.7601203918457,45.29826354980469,24.108856201171875,49.69343185424805,51.01671078886331,83.1732406616211,44.200782775878906,39.92729187011719,208.65379333496094,71.84841918945312,2.2960000038146973,48.970001220703125,3.78
2017-04-28,47.41509246826172,20.11444091796875,65.75393676757812,57.491458892822266,44.917388916015625,23.97250747680664,49.82168960571289,50.48554717835761,82.84207153320312,44.18476486206055,39.73514938354492,208.1990509033203,71.88240051269531,2.2820000648498535,49.33000183105469,3.75
2017-05-01,47.282291412353516,20.242666244506836,65.90198516845703,57.31813430786133,44.942787170410156,24.124000549316406,50.19734191894531,50.19393888296972,82.95248413085938,44.016605377197266,39.49689483642578,208.7237548828125,71.83311462402344,2.325000047683716,48.84000015258789,3.78
2017-05-02,47.044639587402344,20.21702003479004,66.08487701416016,57.595458984375,45.01896286010742,24.131574630737305,50.30727767944336,50.31890621373308,83.04443359375,43.720333099365234,39.54300308227539,208.8024139404297,71.85857391357422,2.2960000038146973,47.65999984741211,3.79
2017-05-03,47.17744445800781,20.379440307617188,65.76261901855469,57.6388053894043,44.578834533691406,23.836177825927734,50.21564483642578,49.19411541639758,82.55693054199219,43.76036071777344,39.40467834472656,208.54888916015625,71.80757904052734,2.309000015258789,47.81999969482422,3.76
2017-05-04,46.31077575683594,20.41362762451172,66.1980972290039,57.69945526123047,44.62962341308594,23.858898162841797,50.17900466918945,48.2151220704035,82.42817687988281,44.09668731689453,39.54300308227539,208.793701171875,71.79907989501953,2.3559999465942383,45.52000045776367,3.8
2017-05-05,47.044639587402344,20.379440307617188,66.16325378417969,57.99411392211914,45.26438903808594,24.048255920410156,50.36223220825195,48.88686890575358,82.94326782226562,44.216793060302734,39.75821304321289,209.6156768798828,71.8245620727539,2.3519999980926514,46.220001220703125,3.82
2017-05-08,47.3801383972168,20.36233901977539,65.75393676757812,57.838111877441406,44.90047073364258,23.91948890686035,50.582122802734375,49.1732808315845,83.09965515136719,44.200782775878906,39.74284362792969,209.58078002929688,71.79058837890625,2.375999927520752,46.43000030517578,3.8
2017-05-09,46.98873519897461,20.28540802001953,65.83230590820312,57.91613006591797,44.561912536621094,23.828598022460938,50.64626693725586,48.918118550855695,83.57796478271484,44.040626525878906,39.45077896118164,209.38836669921875,71.75658416748047,2.4070000648498535,45.880001068115234,3.74
